txn_date,description,reference,debit,credit,balance
2026-08-11,Razorpay Settlement ORD-1001,CMS-RP-8001,0.00,11521.52,250000.00
2026-08-12,Razorpay Settlement ORD-1002,CMS-RP-8002,0.00,17282.28,267282.28
2026-08-13,Razorpay Payout ORD-1003,,0.00,9793.29,277075.57
2026-08-14,Razorpay Settlement ORD-1004,CMS-RP-8004,0.00,28803.80,305879.37
2026-08-15,Settlement credit ORD-1005,,0.00,6912.91,312792.28
2026-08-17,Direct vendor payment,,15000.00,0.00,297792.28
2026-08-18,Razorpay Settlement ORD-1007,CMS-RP-8006,0.00,4608.61,302400.89
2026-08-20,Razorpay Settlement ORD-1009,CMS-RP-8007,0.00,20738.74,323139.63
2026-08-21,Settlement ORD-1010,CMS-RP-8008,0.00,8641.14,331780.77
2026-08-22,Unidentified NEFT deposit,,0.00,50000.00,381780.77
