settlement_id,order_id,payment_id,settlement_date,gross_amount,fee,tax,net_amount
SETTL-8001,ORD-1001,pay_RP1001A,2026-08-11,11800.00,236.00,42.48,11521.52
SETTL-8002,ORD-1002,pay_RP1002B,2026-08-12,17700.00,354.00,63.72,17282.28
SETTL-8003,ORD-1003,pay_RP1003C,2026-08-13,10030.00,200.60,36.11,9793.29
SETTL-8004,ORD-1004,pay_RP1004D,2026-08-14,29500.00,590.00,106.20,28803.80
SETTL-8005,ORD-1005,pay_RP1005E,2026-08-15,7080.00,141.60,25.49,6912.91
SETTL-8006,ORD-1007,pay_RP1007F,2026-08-17,4720.00,94.40,16.99,4608.61
SETTL-8007,ORD-1009,pay_RP1009G,2026-08-19,21240.00,424.80,76.46,20738.74
SETTL-8008,ORD-1010,pay_RP1010H,2026-08-20,8850.00,177.00,31.86,8641.14
SETTL-8009,ORD-9999,pay_RP9999Z,2026-08-21,5000.00,100.00,18.00,4882.00
SETTL-8010,ORD-1011,pay_RP1011K,2026-08-21,10000.00,200.00,36.00,9000.00
