txn_date,description,reference,debit,credit,balance
2026-08-11,Razorpay Settlement ORD-1001,CMS-RP-8001,0.00,11521.52,250000.00
2026-08-12,Razorpay Settlement ORD-1002,CMS-RP-8002,0.00,17282.28,267282.28
2026-08-13,Razorpay Payout ORD-1003,,0.00,9793.29,277075.57
2026-08-14,Razorpay Settlement ORD-1004,CMS-RP-8004,0.00,28803.80,305879.37
2026-08-15,Settlement credit ORD-1005,,0.00,6912.91,312792.28
2026-08-17,Direct vendor payment,,15000.00,0.00,297792.28
2026-08-18,Razorpay Settlement ORD-1007,CMS-RP-8006,0.00,4608.61,302400.89
2026-08-20,Razorpay Settlement ORD-1009,CMS-RP-8007,0.00,20738.74,323139.63
2026-08-21,Settlement ORD-1010,CMS-RP-8008,0.00,8641.14,331780.77
2026-08-22,Unidentified NEFT deposit,,0.00,50000.00,381780.77
2026-08-22,Razorpay Settlement ORD-1011,CMS-RP-8010,0.00,10369.37,392150.14
2026-08-22,Razorpay Settlement ORD-1012,CMS-RP-8011,0.00,16130.13,408280.27
2026-08-22,Razorpay Settlement ORD-1013,CMS-RP-8012,0.00,12673.67,420953.94
2026-08-23,Razorpay Settlement ORD-1014,CMS-RP-8013,0.00,25347.34,446301.28
2026-08-23,Razorpay Settlement ORD-1015,CMS-RP-8014,0.00,6336.84,452638.12
2026-08-24,Razorpay Settlement ORD-1016,CMS-RP-8015,0.00,34564.56,487202.68
2026-08-24,Razorpay Settlement ORD-1017,CMS-RP-8016,0.00,8295.49,495498.17
2026-08-25,Razorpay Settlement ORD-1018,CMS-RP-8017,0.00,21314.81,516812.98
2026-08-25,Razorpay Settlement ORD-1019,CMS-RP-8018,0.00,51846.84,568659.82
2026-08-26,Razorpay Settlement ORD-1020,CMS-RP-8019,0.00,3686.89,572346.71
2026-08-26,Razorpay Settlement ORD-1021,CMS-RP-8020,0.00,18434.43,590781.14
2026-08-27,Razorpay Settlement ORD-1022,CMS-RP-8021,0.00,32260.26,623041.40
2026-08-27,Razorpay Settlement ORD-1023,CMS-RP-8022,0.00,14401.90,637443.30
2026-08-28,Razorpay Settlement ORD-1024,CMS-RP-8023,0.00,11291.09,648734.39
2026-08-28,Razorpay Settlement ORD-1025,CMS-RP-8024,0.00,7834.63,656569.02
2026-08-29,Razorpay Settlement ORD-1026,CMS-RP-8025,0.00,24195.19,680764.21
2026-08-29,Razorpay Settlement ORD-1027,CMS-RP-8026,0.00,57607.60,738371.81
2026-08-30,Razorpay Settlement ORD-1028,CMS-RP-8027,0.00,9447.65,747819.46
2026-08-30,Razorpay Settlement ORD-1029,CMS-RP-8028,0.00,14977.98,762797.44
2026-08-31,Razorpay Settlement ORD-1030,CMS-RP-8029,0.00,5069.47,767866.91
2026-08-31,Razorpay Settlement ORD-1031,CMS-RP-8030,0.00,40325.32,808192.23
2026-09-01,Razorpay Settlement ORD-1032,CMS-RP-8031,0.00,13249.75,821441.98
2026-09-01,Razorpay Settlement ORD-1033,CMS-RP-8032,0.00,27651.65,849093.63
2026-09-02,Razorpay Settlement ORD-1034,CMS-RP-8033,0.00,19586.58,868680.21
2026-09-02,Razorpay Settlement ORD-1035,CMS-RP-8034,0.00,10138.94,878819.15
2026-09-03,Razorpay Settlement ORD-1036,CMS-RP-8035,0.00,6451.05,885270.20
2026-09-03,Razorpay Settlement ORD-1037,CMS-RP-8036,0.00,46086.08,931356.28
2026-09-04,Razorpay Settlement ORD-1038,CMS-RP-8037,0.00,16360.56,947716.84
2026-09-04,Razorpay Settlement ORD-1039,CMS-RP-8038,0.00,7028.13,954744.97
2026-09-05,Razorpay Settlement ORD-1040,CMS-RP-8039,0.00,36868.86,991613.83
2026-09-05,Razorpay Settlement ORD-1041,CMS-RP-8040,0.00,21890.89,1013504.72
2026-09-06,Razorpay Settlement ORD-1042,CMS-RP-8041,0.00,8871.57,1022376.29
2026-09-06,Razorpay Settlement ORD-1043,CMS-RP-8042,0.00,5645.54,1028021.83
2026-09-07,Razorpay Settlement ORD-1044,CMS-RP-8043,0.00,14056.25,1042078.08
2026-09-07,Razorpay Settlement ORD-1045,CMS-RP-8044,0.00,29956.00,1072034.08
2026-09-09,Razorpay Settlement ORD-1048,CMS-RP-8045,0.00,24771.27,1096805.35
2026-09-11,Razorpay Settlement ORD-1049,CMS-RP-8046,0.00,10715.01,1107520.36
2026-09-11,Razorpay Settlement ORD-1050,CMS-RP-8047,0.00,18204.00,1125724.36
2026-09-10,Unknown NEFT credit,,0.00,15000.00,1140724.36
2026-09-10,Salaries Disbursement,,85000.00,0.00,1055724.36
