settlement_id,order_id,payment_id,settlement_date,gross_amount,fee,tax,net_amount
SETTL-8001,ORD-1001,pay_RP1001A,2026-08-11,11800.00,236.00,42.48,11521.52
SETTL-8002,ORD-1002,pay_RP1002B,2026-08-12,17700.00,354.00,63.72,17282.28
SETTL-8003,ORD-1003,pay_RP1003C,2026-08-13,10030.00,200.60,36.11,9793.29
SETTL-8004,ORD-1004,pay_RP1004D,2026-08-14,29500.00,590.00,106.20,28803.80
SETTL-8005,ORD-1005,pay_RP1005E,2026-08-15,7080.00,141.60,25.49,6912.91
SETTL-8006,ORD-1007,pay_RP1007F,2026-08-17,4720.00,94.40,16.99,4608.61
SETTL-8007,ORD-1009,pay_RP1009G,2026-08-19,21240.00,424.80,76.46,20738.74
SETTL-8008,ORD-1010,pay_RP1010H,2026-08-20,8850.00,177.00,31.86,8641.14
SETTL-8009,ORD-9999,pay_RP9999Z,2026-08-21,5000.00,100.00,18.00,4882.00
SETTL-8010,ORD-1011,pay_RP1011K,2026-08-21,10620.00,212.40,38.23,10369.37
SETTL-8011,ORD-1012,pay_RP1012L,2026-08-21,16520.00,330.40,59.47,16130.13
SETTL-8012,ORD-1013,pay_RP1013M,2026-08-22,12980.00,259.60,46.73,12673.67
SETTL-8013,ORD-1014,pay_RP1014N,2026-08-22,25960.00,519.20,93.46,25347.34
SETTL-8014,ORD-1015,pay_RP1015O,2026-08-23,6490.00,129.80,23.36,6336.84
SETTL-8015,ORD-1016,pay_RP1016P,2026-08-23,35400.00,708.00,127.44,34564.56
SETTL-8016,ORD-1017,pay_RP1017Q,2026-08-24,8496.00,169.92,30.59,8295.49
SETTL-8017,ORD-1018,pay_RP1018R,2026-08-24,21830.00,436.60,78.59,21314.81
SETTL-8018,ORD-1019,pay_RP1019S,2026-08-25,53100.00,1062.00,191.16,51846.84
SETTL-8019,ORD-1020,pay_RP1020T,2026-08-25,3776.00,75.52,13.59,3686.89
SETTL-8020,ORD-1021,pay_RP1021U,2026-08-26,18880.00,377.60,67.97,18434.43
SETTL-8021,ORD-1022,pay_RP1022V,2026-08-26,33040.00,660.80,118.94,32260.26
SETTL-8022,ORD-1023,pay_RP1023W,2026-08-27,14750.00,295.00,53.10,14401.90
SETTL-8023,ORD-1024,pay_RP1024X,2026-08-27,11564.00,231.28,41.63,11291.09
SETTL-8024,ORD-1025,pay_RP1025Y,2026-08-28,8024.00,160.48,28.89,7834.63
SETTL-8025,ORD-1026,pay_RP1026Z,2026-08-28,24780.00,495.60,89.21,24195.19
SETTL-8026,ORD-1027,pay_RP1027A,2026-08-29,59000.00,1180.00,212.40,57607.60
SETTL-8027,ORD-1028,pay_RP1028B,2026-08-29,9676.00,193.52,34.83,9447.65
SETTL-8028,ORD-1029,pay_RP1029C,2026-08-30,15340.00,306.80,55.22,14977.98
SETTL-8029,ORD-1030,pay_RP1030D,2026-08-30,5192.00,103.84,18.69,5069.47
SETTL-8030,ORD-1031,pay_RP1031E,2026-08-31,41300.00,826.00,148.68,40325.32
SETTL-8031,ORD-1032,pay_RP1032F,2026-08-31,13570.00,271.40,48.85,13249.75
SETTL-8032,ORD-1033,pay_RP1033G,2026-09-01,28320.00,566.40,101.95,27651.65
SETTL-8033,ORD-1034,pay_RP1034H,2026-09-01,20060.00,401.20,72.22,19586.58
SETTL-8034,ORD-1035,pay_RP1035I,2026-09-02,10384.00,207.68,37.38,10138.94
SETTL-8035,ORD-1036,pay_RP1036J,2026-09-02,6608.00,132.16,23.79,6451.05
SETTL-8036,ORD-1037,pay_RP1037K,2026-09-03,47200.00,944.00,169.92,46086.08
SETTL-8037,ORD-1038,pay_RP1038L,2026-09-03,16756.00,335.12,60.32,16360.56
SETTL-8038,ORD-1039,pay_RP1039M,2026-09-04,7198.00,143.96,25.91,7028.13
SETTL-8039,ORD-1040,pay_RP1040N,2026-09-04,37760.00,755.20,135.94,36868.86
SETTL-8040,ORD-1041,pay_RP1041O,2026-09-05,22420.00,448.40,80.71,21890.89
SETTL-8041,ORD-1042,pay_RP1042P,2026-09-05,9086.00,181.72,32.71,8871.57
SETTL-8042,ORD-1043,pay_RP1043Q,2026-09-06,5782.00,115.64,20.82,5645.54
SETTL-8043,ORD-1044,pay_RP1044R,2026-09-06,14396.00,287.92,51.83,14056.25
SETTL-8044,ORD-1045,pay_RP1045S,2026-09-07,30680.00,613.60,110.45,29956.00
SETTL-8045,ORD-1048,pay_RP1048T,2026-09-08,25370.00,507.40,91.33,24771.27
SETTL-8046,ORD-1049,pay_RP1049U,2026-09-09,10974.00,219.48,39.51,10715.01
SETTL-8047,ORD-1050,pay_RP1050V,2026-09-09,18644.00,372.88,67.12,18204.00
SETTL-8048,ORD-8001,pay_RP8001X,2026-09-09,7500.00,150.00,27.00,7323.00
SETTL-8049,ORD-8002,pay_RP8002Y,2026-09-10,12000.00,240.00,43.20,11716.80
